arm,family,n_records,n_test_manifest,candidate_slates,missing_candidate_slates,route_at_10_mean,route_at_10_std,candidate_recall_mean,candidate_recall_std,sys_at_1_mean,sys_at_1_std,sys_at_3_mean,sys_at_3_std,sys_at_5_mean,sys_at_5_std,sys_at_10_mean,sys_at_10_std,mrr_mean,mrr_std,ndcg_at_10_mean,ndcg_at_10_std
knn_only,Beckmann,3,235,232,3,0.6978723404255319,0.0,0.42127659574468085,0.0,0.11347517730496454,0.06514021278414203,0.16879432624113475,0.08786315271460186,0.20567375886524827,0.06200707232452312,0.24964539007092199,0.03568722163236632,0.15807938517212308,0.06523943084682375,0.16712318269859214,0.05589493554465879
knn_only,Buchwald-HartwigCross-Coupling,3,1099,1098,1,0.6997270245677889,0.0,0.5777979981801638,0.0,0.3069457082195936,0.0034448943559601073,0.41492265696087355,0.006561512785193795,0.4543524416135882,0.002779845735490342,0.49590536851683353,0.003966241076925092,0.37339631228684894,0.0026735968424564985,0.38884934109720865,0.002659838306616584
knn_only,Chan_LamCoupling,3,390,390,0,0.7743589743589744,0.0,0.7051282051282052,0.0,0.3666666666666667,0.023076923076923078,0.4666666666666666,0.01681394493410769,0.5076923076923077,0.015596827000764674,0.5529914529914529,0.01819127919127586,0.4327871792149283,0.020413194022382126,0.4433891217670503,0.022067120680996023
knn_only,DielsAlder,3,762,742,20,0.37270341207349084,0.0,0.34776902887139105,0.0,0.14654418197725286,0.0053037426303509045,0.20166229221347332,0.004218569886698587,0.2283464566929134,0.009463389174446158,0.25984251968503935,0.010741932771486154,0.18492494035916582,0.0022536176443175345,0.19396408929398604,0.004125330759132736
knn_only,Friedel-CraftsAcylation,3,475,473,2,0.7031578947368421,0.0,0.6484210526315789,0.0,0.2336842105263158,0.04060484530944403,0.3256140350877193,0.04857336836679919,0.35929824561403506,0.05673804640195694,0.42245614035087725,0.07503523333688378,0.30117175104719446,0.04500561717501197,0.3071175382819021,0.05509267498804467
knn_only,Friedel-CraftsAlkylation,3,899,898,1,0.5439377085650723,0.0,0.5027808676307007,0.0,0.19577308120133483,0.016385895286603166,0.30886169818316644,0.017981988361857073,0.3563218390804597,0.01728020793137716,0.410826844642195,0.00926214015335321,0.2675396948961969,0.015320716285906446,0.2907218815807311,0.013907468435062369
no_xgb_ltr,Beckmann,3,235,232,3,0.6978723404255319,0.0,0.43546099290780144,0.006500107368731667,0.1475177304964539,0.013678937249635401,0.20709219858156028,0.016110378285958238,0.2297872340425532,0.008510638297872353,0.2723404255319149,0.011258516217296115,0.19230313885071348,0.011559498900324199,0.19834138748241611,0.008912704723704118
no_xgb_ltr,Buchwald-HartwigCross-Coupling,3,1099,1098,1,0.6997270245677889,0.0,0.5950864422202001,0.0024074170255364786,0.26903245374582957,0.0018941455864113976,0.340612678192296,0.0034448943559601073,0.35941765241128304,0.0009099181073703444,0.3824689111313315,0.0013899228677451863,0.31535187295327893,0.0017587058825180386,0.32330298381704925,0.0011189430002222357
no_xgb_ltr,Chan_LamCoupling,3,390,390,0,0.7743589743589744,0.0,0.7213675213675214,0.00148038530561442,0.3811965811965812,0.00148038530561442,0.5119658119658119,0.00148038530561442,0.5452991452991452,0.003916731363210154,0.5692307692307692,0.002564102564102555,0.4557556270036836,0.0009519664635027263,0.47381855615253077,0.0016151676935880121
no_xgb_ltr,DielsAlder,3,762,742,20,0.37270341207349084,0.0,0.34339457567804027,0.0015153550372431202,0.15048118985126857,0.0037883875931077845,0.1867891513560805,0.0030307100744862087,0.19772528433945757,0.004608772420320529,0.20603674540682415,0.002273032555864664,0.17429782588413664,0.0017620694972374784,0.17664844138929328,0.001396745430181211
no_xgb_ltr,Friedel-CraftsAcylation,3,475,473,2,0.7031578947368421,0.0,0.6589473684210526,0.0,0.3228070175438597,0.004382454735718173,0.42245614035087725,0.009949085528952848,0.45192982456140357,0.006767474218240651,0.4715789473684211,0.00421052631578947,0.38501772048752886,0.0035450941947076965,0.3978512462429295,0.003416666804812139
no_xgb_ltr,Friedel-CraftsAlkylation,3,899,898,1,0.5439377085650723,0.0,0.5124212087504635,0.0016991381887118567,0.22098628105302187,0.0023155350383382983,0.26473859844271413,0.0048486083910352475,0.27215424545791617,0.0027993453597592783,0.28550241008527993,0.0032110693503316357,0.2511442312737749,0.001529326295309964,0.2512537811279886,0.001644003488739972
