method,display_method,seed,family,n_families,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c,n_test_manifest,candidate_slates,missing_candidate_slates,temperature_n
product_gnn,B2 Product-GNN,0,MACRO-AVG,6,0.38055889468279663,0.05597352766104157,0.12266701579295629,0.1654111828945604,0.2245557952201238,0.10854686102601219,0.1273451694917249,,,,,3860,3833,27,0
product_gnn,B2 Product-GNN,1,MACRO-AVG,6,0.38613070812236194,0.06578401180632777,0.13388888160860188,0.17250185123508124,0.23846924589286597,0.11935704026853815,0.13894492690948887,,,,,3860,3833,27,0
product_gnn,B2 Product-GNN,2,MACRO-AVG,6,0.38321207279889585,0.06167971674735683,0.12865922435305513,0.1646561057060959,0.22782798671490376,0.11415962517398374,0.13344430444675007,,,,,3860,3833,27,0
sequential_fnn,B3 EditRetro + Sequential FNN,0,MACRO-AVG,6,0.4599451310897735,0.17058945784588198,0.24641995594311883,0.2797501279767431,0.31673848358628814,0.2226611306481522,0.23841342643263255,11.874490892920498,0.4951688080500622,0.6725091407647295,0.8158492654020041,3860,3833,27,1464
sequential_fnn,B3 EditRetro + Sequential FNN,1,MACRO-AVG,6,0.4554637804760973,0.16552496348210768,0.24118706683067107,0.2783774797926027,0.31828717804114043,0.218705729375515,0.23516700463321105,12.445037499244675,0.45168562413709906,0.6463647098750455,0.8109225584596658,3860,3833,27,1424
sequential_fnn,B3 EditRetro + Sequential FNN,2,MACRO-AVG,6,0.46008871525291367,0.16646776869138752,0.2420831295901046,0.2722066338100257,0.31632839505570576,0.2188821902410142,0.23553376789930078,12.279229919560294,0.48744682257845023,0.6623910219853385,0.806444763389019,3860,3833,27,1455
reaction_gcnn,B4 EditRetro + Reaction-GCNN,0,MACRO-AVG,6,0.38376343429677456,0.07229311543052326,0.1321931236376648,0.16184673593118906,0.21258641226773337,0.11765969452392777,0.1321507975181493,,,,,3860,3833,27,0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,1,MACRO-AVG,6,0.3789861027047432,0.07651391530534224,0.13045008282816073,0.16191867259431933,0.207814257041354,0.11979279960151783,0.13197589793717854,,,,,3860,3833,27,0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,2,MACRO-AVG,6,0.3817039056584555,0.07409165694360006,0.1322079488960913,0.16779805216689317,0.2126147113739069,0.11904177070942286,0.13387431291906624,,,,,3860,3833,27,0
