method,display_method,seeds,n_seeds,cover_mean,cover_std,sys1_mean,sys1_std,sys3_mean,sys3_std,sys5_mean,sys5_std,sys10_mean,sys10_std,mrr_mean,mrr_std,ndcg10_mean,ndcg10_std,temperature_mae_mean,temperature_mae_std,temperature_within_5c_mean,temperature_within_5c_std,temperature_within_10c_mean,temperature_within_10c_std,temperature_within_20c_mean,temperature_within_20c_std,n_test_manifest_mean,n_test_manifest_std,candidate_slates_mean,candidate_slates_std,missing_candidate_slates_mean,missing_candidate_slates_std,temperature_n_mean,temperature_n_std
product_gnn,B2 Product-GNN,"0,1,2",3,0.38330055853468487,0.0027869604492006587,0.06114575207157539,0.00492699081564648,0.1284050405848711,0.005615249338817907,0.1675230466119125,0.004328268360083466,0.23028434260929787,0.007274702098069086,0.11402117548951136,0.0054064193372538785,0.13324480028265462,0.005802451591470728,,0.0,,0.0,,0.0,,0.0,3860.0,0.0,3833.0,0.0,27.0,0.0,0.0,0.0
reaction_gcnn,B4 EditRetro + Reaction-GCNN,"0,1,2",3,0.38148448088665776,0.002396212575694007,0.07429956255982186,0.002118066678544469,0.13161705178730562,0.001010651948386596,0.16385448689746718,0.0034154171043289418,0.2110051268943314,0.0027634105782226126,0.11883142161162281,0.0010819978628532902,0.1326670027914647,0.0010492119776350658,,0.0,,0.0,,0.0,,0.0,3860.0,0.0,3833.0,0.0,27.0,0.0,0.0,0.0
sequential_fnn,B3 EditRetro + Sequential FNN,"0,1,2",3,0.4584992089395948,0.0026297383084128907,0.16752739667312574,0.002693396440358777,0.2432300507879648,0.0027986341831989104,0.2767780805264572,0.0040180386471803655,0.31711801889437813,0.0010330745295341955,0.2200830167548938,0.0022344547532277734,0.23637139965504814,0.001777929650919033,12.199586103908489,0.2934931183617306,0.47810041825520383,0.023199424047427194,0.6604216242083711,0.01318300847072885,0.8110721957502296,0.004704036353718515,3860.0,0.0,3833.0,0.0,27.0,0.0,1447.6666666666667,20.984120980716188
