family,rr1,rr3,rr5,rr10,pool_route_coverage,pool_context_coverage,pool_coverage,sys1,sys3,sys5,sys10,ndcg10,mrr,temp_n,temp_mae,temp_mse,temp_rmse,temp_within_5c,temp_within_10c,temp_within_20c
Beckmann,0.4765957446808511,0.6680851063829787,0.6808510638297872,0.6978723404255319,0.6978723404255319,0.6553191489361702,0.42127659574468085,0.19574468085106383,0.23829787234042554,0.25957446808510637,0.3148936170212766,0.23964821466700723,0.23268238094177102,67,10.397869117224394,209.32363600735107,14.468021150362999,0.3283582089552239,0.6716417910447762,0.8805970149253731
Buchwald-HartwigCross-Coupling,0.456778889899909,0.6105550500454959,0.6596906278434941,0.6997270245677889,0.6997270245677889,0.8307552320291174,0.5896269335759782,0.3348498635122839,0.448589626933576,0.4904458598726115,0.5259326660600546,0.4227465736715314,0.40270534306546635,537,12.27978047134712,344.4639797652981,18.559740832384975,0.35567970204841715,0.5642458100558659,0.8175046554934823
Chan_LamCoupling,0.6256410256410256,0.7282051282051282,0.7589743589743589,0.7743589743589744,0.7743589743589744,0.941025641025641,0.7282051282051282,0.3128205128205128,0.45384615384615384,0.5282051282051282,0.6051282051282051,0.43640541596595706,0.40492184356150185,267,6.283153619659081,134.0119210826825,11.576351803685068,0.6404494382022472,0.8352059925093633,0.9400749063670412
DielsAlder,0.23490813648293962,0.3136482939632546,0.33858267716535434,0.37270341207349084,0.37270341207349084,0.8766404199475065,0.34776902887139105,0.14304461942257218,0.2047244094488189,0.22965879265091863,0.26246719160104987,0.1927211370269743,0.18313413818775892,208,18.255714956384438,704.2898211232338,26.538459283146672,0.2403846153846154,0.4423076923076923,0.6875
Friedel-CraftsAcylation,0.5031578947368421,0.6378947368421053,0.6694736842105263,0.7031578947368421,0.7031578947368421,0.8947368421052632,0.6484210526315789,0.21473684210526317,0.3242105263157895,0.3768421052631579,0.4610526315789474,0.3092579373358365,0.2929390913315914,270,10.845992193840168,301.2518643278685,17.356608664363797,0.43703703703703706,0.6592592592592592,0.8555555555555555
Friedel-CraftsAlkylation,0.3103448275862069,0.44271412680756395,0.4905450500556173,0.5439377085650723,0.5439377085650723,0.914349276974416,0.5105672969966629,0.23248053392658508,0.353726362625139,0.403781979977753,0.43715239154616237,0.3265031729886404,0.3049050017115503,436,11.107499714086362,293.3668793579825,17.127956076484505,0.3922018348623853,0.6123853211009175,0.8463302752293578
