family,seed,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,model,route10
Beckmann,0,235,0.41702127659574467,0.1702127659574468,0.21702127659574466,0.2553191489361702,0.2978723404255319,0.2093829990598752,0.21914721752484553,65,10.688845136923076,0.46153846153846156,0.5846153846153846,0.8307692307692308,ProSys,0.6893617021276596
Beckmann,0,235,0.41702127659574467,0.1276595744680851,0.20425531914893616,0.21702127659574466,0.24255319148936172,0.17439293307719625,0.18152419558118418,0,,,,,Without_LTR,0.6893617021276596
Beckmann,0,235,0.41702127659574467,0.1702127659574468,0.21702127659574466,0.2553191489361702,0.2978723404255319,0.2093829990598752,0.21914721752484553,65,11.779149375384616,0.36923076923076925,0.5846153846153846,0.8307692307692308,Without_RGNN_temperature,0.6893617021276596
Beckmann,1,235,0.4127659574468085,0.10638297872340424,0.16170212765957445,0.2,0.24680851063829784,0.1532363159879941,0.1619367335614837,68,13.349801698529413,0.3382352941176471,0.5882352941176471,0.7941176470588235,ProSys,0.6893617021276596
Beckmann,1,235,0.4127659574468085,0.11914893617021277,0.17446808510638298,0.20425531914893616,0.24255319148936172,0.1618819750777016,0.17253049844219043,0,,,,,Without_LTR,0.6893617021276596
Beckmann,1,235,0.4127659574468085,0.10638297872340424,0.16170212765957445,0.2,0.24680851063829784,0.1532363159879941,0.1619367335614837,68,14.64536290735294,0.27941176470588236,0.5,0.7647058823529411,Without_RGNN_temperature,0.6893617021276596
Beckmann,2,235,0.41702127659574467,0.09361702127659574,0.16170212765957445,0.19574468085106383,0.24680851063829784,0.14457069469961353,0.15775909404102048,68,13.711037697058824,0.29411764705882354,0.5441176470588235,0.7794117647058824,ProSys,0.6893617021276596
Beckmann,2,235,0.41702127659574467,0.14042553191489363,0.19574468085106383,0.21276595744680848,0.23829787234042554,0.17821610135489102,0.18170612011594717,0,,,,,Without_LTR,0.6893617021276596
Beckmann,2,235,0.41702127659574467,0.09361702127659574,0.16170212765957445,0.19574468085106383,0.24680851063829784,0.14457069469961353,0.15775909404102048,68,14.827031927058826,0.27941176470588236,0.45588235294117646,0.7647058823529411,Without_RGNN_temperature,0.6893617021276596
Beckmann,0,235,0.13617021276595745,0.01702127659574468,0.05531914893617021,0.05531914893617021,0.08936170212765958,0.04128469368784681,0.047391237117098146,0,,,,,B1_ProductNB,0.6893617021276596
Beckmann,0,235,0.2170212765957447,0.029787234042553193,0.0425531914893617,0.059574468085106386,0.10638297872340424,0.049591834746858895,0.05658759981077228,0,,,,,B2_ProductGNN,0.6893617021276596
