model,seed,route10,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,n_queries,temp_n,temperature_family_count,family_count
ProSys,0,0.5585874583113445,0.4751468530162441,0.19719228216854692,0.29245477001588144,0.33246452386059616,0.37943080637863696,0.25898166488328006,0.27583218793093445,11.026975139243328,0.4222251450706638,0.6236144217861461,0.8330593003832054,3860,1529,6,6
Without_LTR,0,0.5585874583113445,0.4751468530162441,0.20310926296152076,0.26736543683682135,0.2816949926447857,0.2979030414693049,0.24287748492312144,0.24883741287654007,,,,,3860,0,0,6
Without_RGNN_temperature,0,0.5585874583113445,0.4751468530162441,0.19719228216854692,0.29245477001588144,0.33246452386059616,0.37943080637863696,0.25898166488328006,0.27583218793093445,13.28938751629576,0.35664413150761504,0.5681777162148495,0.7906727973159965,3860,1529,6,6
ProSys,1,0.5585874583113445,0.47540936209555557,0.201365425517094,0.29721723750451196,0.3321665314454942,0.3756933340526878,0.2620322047675114,0.2778919995317885,11.668940056993529,0.41394561027411636,0.6212545057923254,0.8250156667603656,3860,1537,6,6
Without_LTR,1,0.5585874583113445,0.47540936209555557,0.20062473784111146,0.262830386829173,0.2804634181779806,0.29988222225195504,0.2406023579104926,0.24832334585206262,,,,,3860,0,0,6
Without_RGNN_temperature,1,0.5585874583113445,0.47540936209555557,0.201365425517094,0.29721723750451196,0.3321665314454942,0.3756933340526878,0.2620322047675114,0.2778919995317885,13.82573697373504,0.33225097404625087,0.5428733775788233,0.778325707635774,3860,1537,6,6
ProSys,2,0.5585874583113445,0.4766910491946093,0.19561318608621892,0.3026153135370521,0.3351688414278044,0.3808878515294656,0.26089971648940186,0.2784301650954464,11.251211729704975,0.4018596823144435,0.6232272917428923,0.837131404588113,3860,1538,6,6
Without_LTR,2,0.5585874583113445,0.4766910491946093,0.20293810160720283,0.26525776622524244,0.2839360646386065,0.2993544974999673,0.24269823760784318,0.2492986500354176,,,,,3860,0,0,6
Without_RGNN_temperature,2,0.5585874583113445,0.4766910491946093,0.19561318608621892,0.3026153135370521,0.3351688414278044,0.3808878515294656,0.26089971648940186,0.2784301650954464,13.764750963163088,0.3520978798645153,0.5576698375001142,0.7772875375909211,3860,1538,6,6
B1_ProductNB,0,0.5585874583113445,0.2781592221101371,0.07876335181020037,0.13050812197355097,0.15354480001940307,0.19439833196695014,0.11598849114454769,0.1292258153732839,,,,,3860,0,0,6
B2_ProductGNN,0,0.5585874583113445,0.3404215432831182,0.055414195241863556,0.1052414884548253,0.14131652098254655,0.19614346859377452,0.098386636978314,0.1141120829514745,,,,,3860,0,0,6
B3_SequentialFNN,0,0.5585874583113445,0.4030799674541221,0.14457631634289236,0.2066822279248749,0.232708202726669,0.264362941322794,0.18761522685632367,0.19900465088152497,12.126787139316981,0.4932216528748559,0.6740773186169339,0.8160155288708658,3860,1251,6,6
B4_ReactionGCNN,0,0.5585874583113445,0.3340637130387318,0.051791461762977324,0.10335160804861976,0.13217324259519345,0.17976177750059788,0.0928333776982548,0.10745722684770488,,,,,3860,0,0,6
B2_ProductGNN,1,0.5585874583113445,0.32856046708949843,0.0510024439705,0.10538402449224832,0.13818306693602309,0.19050290271033657,0.09415132576295943,0.10923431922795197,,,,,3860,0,0,6
B3_SequentialFNN,1,0.5585874583113445,0.3998884255496377,0.1364159335506274,0.19702052221707,0.227913176747311,0.265779627737437,0.18073172031120577,0.19400233452655768,12.215369155032597,0.4623300462065287,0.6557599300015394,0.8135098718811721,3860,1219,6,6
B4_ReactionGCNN,1,0.5585874583113445,0.32578007713990853,0.05260739701334352,0.0965554761334263,0.12103470956738784,0.17370963609380893,0.0892451509807537,0.10156115442046888,,,,,3860,0,0,6
B2_ProductGNN,2,0.5585874583113445,0.32100151834208906,0.04524835056581141,0.09255910283180889,0.12097035941267727,0.17873545488756773,0.08589551439123326,0.10033275591443934,,,,,3860,0,0,6
B3_SequentialFNN,2,0.5585874583113445,0.3998351805196412,0.13311783878472985,0.1996596716378478,0.22220606365224294,0.254515311281652,0.17781790905285164,0.1893519578102023,12.488256014728238,0.48370429815300403,0.6544708029993522,0.799546478560594,3860,1230,6,6
B4_ReactionGCNN,2,0.5585874583113445,0.33338606337256566,0.05497258187079693,0.10266185565322733,0.13552810925844536,0.18174403293466815,0.09451496454091064,0.10903784586862701,,,,,3860,0,0,6
Without_KNN,0,0.5585874583113445,0.40561666895143217,0.14842453848876283,0.2378068272220943,0.27037230750925606,0.3187880574959298,0.20611055448510363,0.2243500056329406,,,,,3860,0,0,6
Without_KNN,1,0.5585874583113445,0.4013477422995093,0.15745587033983405,0.2349225471112415,0.2718148929790904,0.30923019967154614,0.20988650913233955,0.2257945995791254,,,,,3860,0,0,6
Without_KNN,2,0.5585874583113445,0.40626642104461363,0.14438175483455284,0.2336092652282926,0.2713007489286667,0.31138362485350113,0.20218909670606042,0.22039296418981755,,,,,3860,0,0,6
Without_ReaFNN,0,0.5585874583113445,0.46825834278102235,0.19825854116675976,0.28236975901243944,0.3129293107006461,0.3590528324724618,0.25432443680328937,0.26679872721764303,,,,,3860,0,0,6
Without_ReaFNN,1,0.5585874583113445,0.46825834278102235,0.18378083395537173,0.2670054127203603,0.2994896035491595,0.34254028463807346,0.23875309040013026,0.24982825168375666,,,,,3860,0,0,6
Without_ReaFNN,2,0.5585874583113445,0.46825834278102235,0.16463523794909488,0.24311737770588046,0.2730806925923776,0.32315004428752014,0.21824982176709185,0.2302306930391507,,,,,3860,0,0,6
