(5as,10br)-5a,10b-dihydro-2-(2,4,6-trimethylphenyl)-4h,6h-indeno[2,1-b]-1,2,4-triazolo[4,3-d]-1,4-oxazinium chloride	Cc1cc(C)c(-[n+]2cn3c(n2)CO[C@H]2Cc4ccccc4[C@H]23)c(C)c1.[Cl-]
(e)-1,4-bis(2,2-dioxido-3,3a,4,8b-tetrahydro-1h-indeno[1,2-c]isothiazol-1-yl)but-2-ene-1,4-dione	O=C(/C=C/C(=O)N1C2c3ccccc3CC2CS1(=O)=O)N1C2c3ccccc3CC2CS1(=O)=O
(r)-1,1'-bi-2-naphthol	Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
(r)-10-camphorsulfonic acid	CC1(C)C2CC[C@]1(CS(=O)(=O)O)C(=O)C2
(r)-2-(diphenyl(trimethylsilyloxy)methyl)pyrrolidine	C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@H]1CCCN1
(r)-3,3'-dibromo-1,1'-bi-2-naphthol	Oc1c(Br)cc2ccccc2c1-c1c(O)c(Br)cc2ccccc12
(r)-mandelic acid	O=C(O)[C@H](O)c1ccccc1
(s)-1-(2-amino-3,3-dimethylbutyl)-3-(3,5-bis(trifluoromethyl)phenyl)thiourea	CC(C)(C)[C@H](N)CNC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
(s)-2-((2-(hydroxydiphenylmethyl)pyrrolidin-1-yl)methyl)-6-(trifluoromethyl)phenol	Oc1c(CN2CCC[C@H]2C(O)(c2ccccc2)c2ccccc2)cccc1C(F)(F)F
(s)-2-(diphenyl((triethylsilyl)oxy)methyl)pyrrolidine	CC[Si](CC)(CC)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1
(s)-2-{bis[3,5-bis(trifluoromethyl)phenyl][(trimethylsilanyl)oxy]methyl}pyrrolidine	C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@@H]1CCCN1
(s)-4-(tert-butyl)-2-(isoquinolin-1-yl)-4,5-dihydrooxazole	CC(C)(C)[C@H]1COC(c2nccc3ccccc23)=N1
(s)-4-isopropyl-2-(3-((s)-4-isopropyl-1-(4-methoxyphenyl)-4,5-dihydro-1h-imidazol-2-yl)pentan-3-yl)-4,5-dihydrooxazole	CCC(CC)(C1=N[C@@H](C(C)C)CO1)C1=N[C@@H](C(C)C)CN1c1ccc(OC)cc1
(s)-4-methyl-n1-propylpentane-1,2-diamine	CCCNC[C@@H](N)CC(C)C
(s,s)-1,2-diaminocyclohexane	N[C@H]1CCCC[C@@H]1N
(s,s)-2,2'-isopropylidenebis(4-phenyl-2-oxazoline)	CC(C)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1
(trimethylsilyl)methylmagnesium chloride	C[Si](C)(C)[CH2][Mg][Cl]
(trimethylsilyl)methylzinc iodide	[CH2-][Si](C)(C)C.[I-].[Zn+2]
(triphenylphosphine)gold(i) chloride	[Au+].[Cl-].c1ccc(P(c2ccccc2)c2ccccc2)cc1
1,1'-bi-2-naphthol	Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
1,1'-binaphthyl-2,2'-diyl hydrogenphosphate	O=P1(O)Oc2ccc3ccccc3c2-c2c(ccc3ccccc23)O1
1,1'-biphenyl-2,2'-diyl hydrogen phosphate	O=P1(O)Oc2ccccc2-c2ccccc2O1
1,1'-bipyridyl	C1=CCN(N2C=CC=CC2)C=C1
1,1'-bis(diphenylphosphino)ferrocene	[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
1,1'-bis-(diphenylphosphino)ferrocene	[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1
1,1,1,3',3',3'-hexafluoro-propanol	OC(C(F)(F)F)C(F)(F)F
1,1,1,3,3-pentafluorobutane	CC(F)(F)CC(F)(F)F
1,1,2,2-tetrachloroethane	ClC(Cl)C(Cl)Cl
1,1,3,3-tetramethyldisiloxane	C[SiH](C)O[SiH](C)C
1,1,3,3-tetramethylguanidinium chlorosulfonate	CN(C)C(=[NH2+])N(C)C.O=S(=O)([O-])Cl
1,1-dibromoethane	CC(Br)Br
1,1-dichloroethane	CC(Cl)Cl
1,10-phenanthroline	c1cnc2c(c1)ccc1cccnc12
1,2,3-benzotriazole	c1ccc2[nH]nnc2c1
1,2-bis(benzylsulfinyl)ethane palladium acetate	CC(=O)[O-].CC(=O)[O-].[O-][S+](CC[S+]([O-])Cc1ccccc1)Cc1ccccc1.[Pd+2]
1,2-bis(diphenylphosphino)ethane nickel(ii) chloride	[Cl-].[Cl-].[Ni+2].c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
1,2-bis-(dicyclohexylphosphino)ethane	C1CCC(P(CCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1
1,2-bis-(diphenylphosphino)ethane	c1ccc(P(CCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
1,2-dichloro-benzene	Clc1ccccc1Cl
1,2-dichloro-ethane	ClCCCl
1,2-dimethoxyethane	COCCOC
1,3,4-trimethylimidazolidin-2-one	CC1CN(C)C(=O)N1C
1,3,5-trichloro-2,4,6-triazine	Clc1nc(Cl)nc(Cl)n1
1,3,5-trimethyl-benzene	Cc1cc(C)cc(C)c1
1,3-bis(2,4,6-trimethylphenyl)-4,5,6,7-tetrahydro-1h-1,3-diazepinium bromide	Cc1cc(C)c(N2CCCC[NH+](c3c(C)cc(C)cc3C)C2)c(C)c1.[Br-]
1,3-bis(2,4,6-trimethylphenyl)-4,5-dihydroimidazolium chloride	Cc1cc(C)c(N2C=[N+](c3c(C)cc(C)cc3C)CC2)c(C)c1.[Cl-]
1,3-bis(2,6-diisopropylphenyl)-1,3,2-diazaphospholidine-2-oxide	CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[PH]1=O
1,3-bis(3,5-bis(trifluoro-ethyl)phenyl)thiourea	FC(F)(F)Cc1cc(CC(F)(F)F)cc(NC(=S)Nc2cc(CC(F)(F)F)cc(CC(F)(F)F)c2)c1
1,3-bis(3-sulfopropyl)-1h-imidazol-3-ium trifluoromethanesulfonate	O=S(=O)(O)CCCn1cc[n+](CCCS(=O)(=O)O)c1.O=S(=O)([O-])C(F)(F)F
1,3-bis(cyclohexyl)imidazolium tetrafluoroborate	F[B-](F)(F)F.c1c[n+](C2CCCCC2)cn1C1CCCCC1
1,3-bis(mesityl)imidazolium chloride	Cc1cc(C)c(-n2cc[n+](-c3c(C)cc(C)cc3C)c2)c(C)c1.[Cl-]
1,3-bis-(diphenylphosphino)propane	c1ccc(P(CCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
1,3-bis[(2,6-diisopropyl)phenyl]imidazolinium chloride	CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1.[Cl-]
1,3-bis[2,6-diisopropylphenyl]imidazolium chloride	CC(C)c1cccc(C(C)C)c1-n1cc[n+](-c2c(C(C)C)cccc2C(C)C)c1.[Cl-]
1,3-bis[5-chloro-3-methyl-1-phenyl-1h-pyrazol-4-ylmethyleneamino]thiourea	Cc1nn(-c2ccccc2)c(Cl)c1C=NNC(=S)NN=Cc1c(C)nn(-c2ccccc2)c1Cl
1,3-di-tert-butyl-2-chloro-1,3,2-diazaphospholidine	CC(C)(C)N1CCN(C(C)(C)C)P1Cl
1,3-diisopropyl-1h-imidazol-3-ium chloride	CC(C)n1cc[n+](C(C)C)c1.[Cl-]
1,3-dimethyl-2-imidazolidinone	CN1CCN(C)C1=O
1,3-dimethyl-2-imidazolidinone (dmi)	CN1CCN(C)C1=O
1,3-dimethyl-3,4,5,6-tetrahydro-2(1h)-pyrimidinone	CN1CCCN(C)C1=O
1,4-di(2-iodoethynyl)benzene	IC#Cc1ccc(C#CI)cc1
1,4-di(diphenylphosphino)-butane	c1ccc(P(CCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1
1,4-diaza-bicyclo[2.2.2]octane	C1CN2CCN1CC2
1,4-diazabicyclo[2.2.2]octan-1-ium hydrogensulfate	C1C[NH+]2CCN1CC2.O=S(=O)([O-])O
1,4-dihydropyridine	C1=CNC=CC1
1,4-dioxane	C1COCCO1
1,8-bis(diisopropylphosphino)triptycene	CC(C)P(c1cccc2c1C1c3ccccc3C2c2cccc(P(C(C)C)C(C)C)c21)C(C)C
1,8-diazabicyclo[5.4.0]undec-7-ene	C1CCC2=NCCCN2CC1
1-(((1r,4as,10ar)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl)-3-((1r,2r)-2-(pyrrolidin-1-yl)cyclohexyl)thiourea	CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNC(=S)N[C@@H]3CCCC[C@H]3N3CCCC3)CCC[C@]21C
1-((1s,2s)-2-aminocyclohexyl)-3-(((1r,4as,10ar)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl)thiourea	CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNC(=S)N[C@H]3CCCC[C@@H]3N)CCC[C@]21C
1-((dimethylamino)methyl)-n,n-dimethylcyclopentanamine	CN(C)CC1(N(C)C)CCCC1
1-(2-carboxyethyl)-3-mesityl-1h-imidazol-3-ium chloride	Cc1cc(C)c(-[n+]2ccn(CCC(=O)O)c2)c(C)c1.[Cl-]
1-(3,4-dichlorobenzenesulfonyl)-3-methyl-1h-imidazolium chloride	CN1C=C[NH+](S(=O)(=O)c2ccc(Cl)c(Cl)c2)C1.[Cl-]
1-(3,5-bis(trifluoromethyl)phenyl)-3-((1r,2r)-2-amino-1,2-diphenylethyl)thiourea	N[C@H](c1ccccc1)[C@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1
1-(3,5-bis(trifluoromethyl)phenyl)-3-((s)-(6-methoxyquinolin-4-yl)((1s,2s,4s,5r)-5-vinylquinuclidin-2-yl)methyl)thiourea	C=CC1CN2CCC1CC2C(NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccnc2ccc(OC)cc12
1-(3,5-bis(trifluoromethyl)phenyl)-3-((s)-(6-methoxyquinolin-4-yl)((2s,4s,8r)-8-vinylquinuclidin-2-yl)methyl)thiourea	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccnc2ccc(OC)cc12
1-(5,6,7,8-tetrahydroquinolin-8-yl)ethan-1-one	CC(=O)C1CCCc2cccnc21
1-[2-(diphenylphosphino)phenyl]ethanol	CC(O)c1ccccc1P(c1ccccc1)c1ccccc1
1-butyl-1,4-diazabicyclo[2.2.2]octanylium hydrogensulfate	CCCC[N+]12CCN(CC1)CC2.O=S(=O)([O-])O
1-butyl-2-(diphenylphosphanyl)-3-methylimidazolium hexafluorophosphate	CCCC[n+]1ccn(C)c1P(c1ccccc1)c1ccccc1.F[P-](F)(F)(F)(F)F
1-butyl-3-methylimidazolium tetrafluoroborate	CCCC[n+]1ccn(C)c1.F[B-](F)(F)F
