family,seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10
Beckmann,0,seen_product,False,182,0.7087912087912088,0.4175824175824176,0.1978021978021978,0.24725274725274726,0.2802197802197802,0.3241758241758242
Beckmann,0,seen_product,True,53,0.6226415094339622,0.41509433962264153,0.07547169811320754,0.11320754716981132,0.16981132075471697,0.20754716981132076
Beckmann,0,context_in_train_library,False,19,0.5789473684210527,0.0,0.0,0.0,0.0,0.0
Beckmann,0,context_in_train_library,True,216,0.6990740740740741,0.4537037037037037,0.18518518518518517,0.2361111111111111,0.2777777777777778,0.32407407407407407
Beckmann,1,seen_product,False,182,0.7087912087912088,0.41208791208791207,0.12637362637362637,0.18681318681318682,0.21428571428571427,0.2692307692307692
Beckmann,1,seen_product,True,53,0.6226415094339622,0.41509433962264153,0.03773584905660377,0.07547169811320754,0.1509433962264151,0.16981132075471697
Beckmann,1,context_in_train_library,False,19,0.5789473684210527,0.0,0.0,0.0,0.0,0.0
Beckmann,1,context_in_train_library,True,216,0.6990740740740741,0.44907407407407407,0.11574074074074074,0.17592592592592593,0.2175925925925926,0.26851851851851855
Beckmann,2,seen_product,False,182,0.7087912087912088,0.4175824175824176,0.1043956043956044,0.19230769230769232,0.21978021978021978,0.2692307692307692
Beckmann,2,seen_product,True,53,0.6226415094339622,0.41509433962264153,0.05660377358490566,0.05660377358490566,0.11320754716981132,0.16981132075471697
Beckmann,2,context_in_train_library,False,19,0.5789473684210527,0.0,0.0,0.0,0.0,0.0
Beckmann,2,context_in_train_library,True,216,0.6990740740740741,0.4537037037037037,0.10185185185185185,0.17592592592592593,0.21296296296296297,0.26851851851851855
Buchwald-HartwigCross-Coupling,0,seen_product,False,1002,0.6037924151696606,0.5179640718562875,0.3273453093812375,0.4161676646706587,0.43812375249500995,0.4660678642714571
Buchwald-HartwigCross-Coupling,0,seen_product,True,97,0.5979381443298969,0.5051546391752577,0.14432989690721648,0.21649484536082475,0.28865979381443296,0.35051546391752575
Buchwald-HartwigCross-Coupling,0,context_in_train_library,False,42,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,0,context_in_train_library,True,1057,0.6121097445600757,0.5373699148533586,0.32355723746452225,0.41438032166508987,0.44181646168401134,0.4739829706717124
Buchwald-HartwigCross-Coupling,1,seen_product,False,1002,0.6037924151696606,0.5199600798403193,0.32335329341317365,0.4161676646706587,0.4431137724550898,0.46706586826347307
Buchwald-HartwigCross-Coupling,1,seen_product,True,97,0.5979381443298969,0.5051546391752577,0.17525773195876287,0.26804123711340205,0.29896907216494845,0.32989690721649484
Buchwald-HartwigCross-Coupling,1,context_in_train_library,False,42,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,1,context_in_train_library,True,1057,0.6121097445600757,0.5392620624408704,0.3226111636707663,0.41911069063386946,0.4474929044465468,0.47303689687795647
Buchwald-HartwigCross-Coupling,2,seen_product,False,1002,0.6037924151696606,0.5249500998003992,0.3223552894211577,0.42115768463073855,0.4411177644710579,0.4750499001996008
Buchwald-HartwigCross-Coupling,2,seen_product,True,97,0.5979381443298969,0.5154639175257731,0.17525773195876287,0.24742268041237114,0.26804123711340205,0.36082474226804123
Buchwald-HartwigCross-Coupling,2,context_in_train_library,False,42,0.38095238095238093,0.0,0.0,0.0,0.0,0.0
Buchwald-HartwigCross-Coupling,2,context_in_train_library,True,1057,0.6121097445600757,0.5449385052034059,0.3216650898770104,0.4219489120151372,0.4427625354777673,0.48344370860927155
Chan_LamCoupling,0,seen_product,False,362,0.7265193370165746,0.6767955801104972,0.26243093922651933,0.4143646408839779,0.48066298342541436,0.5662983425414365
Chan_LamCoupling,0,seen_product,True,28,0.35714285714285715,0.32142857142857145,0.10714285714285714,0.25,0.25,0.25
Chan_LamCoupling,0,context_in_train_library,False,5,0.6,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,0,context_in_train_library,True,385,0.7012987012987013,0.6597402597402597,0.2545454545454545,0.4077922077922078,0.4701298701298701,0.5506493506493506
Chan_LamCoupling,1,seen_product,False,362,0.7265193370165746,0.6767955801104972,0.2845303867403315,0.4447513812154696,0.49171270718232046,0.5524861878453039
Chan_LamCoupling,1,seen_product,True,28,0.35714285714285715,0.32142857142857145,0.10714285714285714,0.17857142857142858,0.21428571428571427,0.25
Chan_LamCoupling,1,context_in_train_library,False,5,0.6,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,1,context_in_train_library,True,385,0.7012987012987013,0.6597402597402597,0.2753246753246753,0.43116883116883115,0.4779220779220779,0.5376623376623376
Chan_LamCoupling,2,seen_product,False,362,0.7265193370165746,0.6767955801104972,0.2596685082872928,0.44751381215469616,0.511049723756906,0.5524861878453039
Chan_LamCoupling,2,seen_product,True,28,0.35714285714285715,0.32142857142857145,0.07142857142857142,0.25,0.25,0.25
Chan_LamCoupling,2,context_in_train_library,False,5,0.6,0.0,0.0,0.0,0.0,0.0
Chan_LamCoupling,2,context_in_train_library,True,385,0.7012987012987013,0.6597402597402597,0.24935064935064935,0.43896103896103894,0.4987012987012987,0.5376623376623376
DielsAlder,0,seen_product,False,740,0.3364864864864865,0.3081081081081081,0.10270270270270271,0.17432432432432432,0.1972972972972973,0.22972972972972974
DielsAlder,0,seen_product,True,22,0.36363636363636365,0.36363636363636365,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.3181818181818182
DielsAlder,0,context_in_train_library,False,27,0.25925925925925924,0.0,0.0,0.0,0.0,0.0
DielsAlder,0,context_in_train_library,True,735,0.3401360544217687,0.32108843537414966,0.10748299319727891,0.18095238095238095,0.2054421768707483,0.24081632653061225
DielsAlder,1,seen_product,False,740,0.3364864864864865,0.30675675675675673,0.12702702702702703,0.19054054054054054,0.21486486486486486,0.25135135135135134
DielsAlder,1,seen_product,True,22,0.36363636363636365,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.3181818181818182,0.36363636363636365
DielsAlder,1,context_in_train_library,False,27,0.25925925925925924,0.0,0.0,0.0,0.0,0.0
DielsAlder,1,context_in_train_library,True,735,0.3401360544217687,0.3197278911564626,0.13197278911564625,0.2,0.22585034013605443,0.2639455782312925
DielsAlder,2,seen_product,False,740,0.3364864864864865,0.3081081081081081,0.12567567567567567,0.1864864864864865,0.20405405405405405,0.23783783783783785
DielsAlder,2,seen_product,True,22,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.3181818181818182,0.3181818181818182,0.36363636363636365
DielsAlder,2,context_in_train_library,False,27,0.25925925925925924,0.0,0.0,0.0,0.0,0.0
DielsAlder,2,context_in_train_library,True,735,0.3401360544217687,0.32108843537414966,0.1292517006802721,0.19727891156462585,0.21496598639455783,0.2503401360544218
Friedel-CraftsAcylation,0,seen_product,False,435,0.6206896551724138,0.5862068965517241,0.19540229885057472,0.30344827586206896,0.36091954022988504,0.4367816091954023
Friedel-CraftsAcylation,0,seen_product,True,40,0.6,0.5,0.025,0.125,0.175,0.25
Friedel-CraftsAcylation,0,context_in_train_library,False,17,0.23529411764705882,0.0,0.0,0.0,0.0,0.0
Friedel-CraftsAcylation,0,context_in_train_library,True,458,0.6331877729257642,0.6004366812227074,0.18777292576419213,0.29912663755458513,0.35807860262008734,0.4366812227074236
