system,seed,n_families,n_test_manifest,n_candidate_slates,n_missing_candidate_slates,temperature_support,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,rr1,rr3,rr5,rr10
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,6,3860,3833,27,1785,0.5409776726709034,0.23894617543971353,0.3372324919183171,0.3814180556757793,0.43443778382261605,0.3035479664666067,0.3212137419426579,11.52833501209026,0.39901847274832103,0.630840977712979,0.8379270679284683,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,6,3860,3833,27,1795,0.5429403910340526,0.25228359060141275,0.35421904239784646,0.38988828697329864,0.43397753857769755,0.3164536080981422,0.3318291624884791,11.21611406358108,0.43877048274571656,0.6485379467341239,0.844057105930201,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,6,3860,3833,27,1797,0.5438622040207259,0.26279515467417464,0.3620660552592087,0.4021050601118255,0.44466221744456785,0.32589221736844837,0.3416394437464059,11.740539663783963,0.40444186000259386,0.6133586333413811,0.8303344422039123,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
