method,family,candidate_slates,missing_candidate_slates,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temperature_n,temperature_mae,temperature_within_5c,temperature_within_10c,temperature_within_20c,route_weight,condition_weight,last_epoch,n_families
sequential_fnn,Beckmann,232,3,0.3276595744680851,0.13617021276595745,0.18297872340425533,0.19574468085106383,0.20851063829787234,0.16714074564499873,0.16860920302104393,50,16.65966453552246,0.38,0.52,0.68,1.5,1.0,23,1
sequential_fnn,Buchwald-HartwigCross-Coupling,1098,1,0.37124658780709735,0.05823475887170155,0.1237488626023658,0.15741583257506825,0.20291173794358508,0.1075870581572179,0.12415997762863508,323,9.444003367940708,0.48297213622291024,0.7306501547987616,0.8885448916408669,1.5,1.0,30,1
sequential_fnn,Chan_LamCoupling,390,0,0.7025641025641025,0.32051282051282054,0.44358974358974357,0.48717948717948717,0.5794871794871795,0.404198245473083,0.4397910917609035,256,7.407995626330376,0.63671875,0.80078125,0.9140625,1.0,1.0,19,1
sequential_fnn,DielsAlder,742,20,0.30971128608923887,0.11679790026246718,0.16404199475065614,0.19028871391076113,0.22178477690288714,0.15165565957907204,0.1643024630074452,183,19.70603410728642,0.37158469945355194,0.5300546448087432,0.6721311475409836,1.0,1.0,29,1
sequential_fnn,Friedel-CraftsAcylation,473,2,0.5810526315789474,0.19578947368421054,0.3178947368421053,0.35789473684210527,0.4105263157894737,0.2743432106275979,0.2981403591904137,243,11.799667843268733,0.4609053497942387,0.6378600823045267,0.8189300411522634,1.0,1.0,15,1
sequential_fnn,Friedel-CraftsAlkylation,898,1,0.4682981090100111,0.17130144605116795,0.22024471635150167,0.2447163515016685,0.27474972191323693,0.20836822196411578,0.21819951278736333,400,8.658014037013054,0.5925,0.755,0.865,1.5,1.0,21,1
reaction_gcnn,Beckmann,232,3,0.2978723404255319,0.03829787234042553,0.07659574468085106,0.10212765957446808,0.14893617021276595,0.07071981586932038,0.08085413428823678,0,,,,,2.0,1.0,50,1
reaction_gcnn,Buchwald-HartwigCross-Coupling,1098,1,0.27024567788899,0.039126478616924476,0.06915377616014559,0.09190172884440401,0.11919927206551412,0.06670968679982907,0.07292845897056394,0,,,,,1.5,1.0,50,1
reaction_gcnn,Chan_LamCoupling,390,0,0.5435897435897435,0.1282051282051282,0.2205128205128205,0.28974358974358977,0.35128205128205126,0.2006337862763485,0.2277043520483131,0,,,,,1.5,1.0,50,1
reaction_gcnn,DielsAlder,742,20,0.2742782152230971,0.05249343832020997,0.09973753280839895,0.11679790026246718,0.1377952755905512,0.08437887621280668,0.09227737076815032,0,,,,,2.0,1.0,50,1
reaction_gcnn,Friedel-CraftsAcylation,473,2,0.511578947368421,0.0863157894736842,0.1726315789473684,0.23157894736842105,0.31157894736842107,0.15420914658090482,0.1817943322697076,0,,,,,1.5,1.0,50,1
reaction_gcnn,Friedel-CraftsAlkylation,898,1,0.39265850945494996,0.10011123470522802,0.15461624026696327,0.1746384872080089,0.20689655172413793,0.13759931251732774,0.1476872291694256,0,,,,,2.0,1.0,50,1
reaction_gcnn,MACRO-AVG,3833,27,0.3817039056584555,0.07409165694360006,0.1322079488960913,0.16779805216689317,0.2126147113739069,0.11904177070942286,0.13387431291906624,0,,,,,,,,6
sequential_fnn,MACRO-AVG,3833,27,0.46008871525291367,0.16646776869138752,0.2420831295901046,0.2722066338100257,0.31632839505570576,0.2188821902410142,0.23553376789930078,1455,12.279229919560294,0.48744682257845023,0.6623910219853385,0.806444763389019,,,,6
