mode,seed,n_queries,sys1_percent,sys3_percent,sys5_percent,sys10_percent,temperature_n,temperature_mae_c,temperature_within10_percent,result_sha256
legacy,0,762,14.304461942257218,20.47244094488189,22.965879265091864,26.246719160104988,208,18.8373428394015,46.15384615384615,e2e0219633d932d5153ddd486129733527518f41bc18afc4a7224e0ce9e262d6
corrected,0,762,13.910761154855644,20.866141732283463,23.097112860892388,25.590551181102363,208,17.70301062384477,46.15384615384615,4dff77d1424cb61492fef3774670dd64573dcfc873e5824d24f5c5c29bc2cba6
legacy,1,762,17.191601049868765,21.653543307086615,22.965879265091864,26.246719160104988,208,18.998615394991177,44.230769230769226,23001fbc499aa144cdb44132237f1174cf629a89951027cf203bf91b10fc9224
corrected,1,762,18.241469816272964,23.097112860892388,25.45931758530184,29.00262467191601,208,18.213982285501864,46.15384615384615,87d4789c2aa29dcfc4b33548bb1a6f7e5e5b566e9c21e70f5ab2b411fa22b86b
legacy,2,762,16.010498687664043,22.178477690288716,24.146981627296586,26.902887139107612,208,19.12071711684649,45.67307692307692,f26cc815634c5460dd62508a33e7193e7b7014b947cf11fa860742107d2069f1
corrected,2,762,17.191601049868765,22.57217847769029,24.54068241469816,27.69028871391076,208,18.40766293784747,46.15384615384615,0c4118f97f1977c529de16448a593cf3af3e85081e9fb08fa5ffda89d614b252
