mode,metric,mean,sample_sd,training_seeds
legacy,sys1_percent,15.835520559930009,1.4515013143514484,3
legacy,sys3_percent,21.434820647419073,0.8737963410077958,3
legacy,sys5_percent,23.35958005249344,0.6819097667593993,3
legacy,sys10_percent,26.465441819772526,0.3788387593107781,3
legacy,temperature_mae_c,18.985558450413055,0.14213763798042506,3
legacy,temperature_within10_percent,45.35256410256411,1.0008009612817963,3
corrected,sys1_percent,16.447944006999126,2.259099096006185,3
corrected,sys3_percent,22.178477690288712,1.166429713558477,3
corrected,sys5_percent,24.36570428696413,1.1907836910600362,3
corrected,sys10_percent,27.42782152230971,1.7211124735700782,3
corrected,temperature_mae_c,18.108218615731367,0.3640373418893069,3
corrected,temperature_within10_percent,46.15384615384615,0.0,3
