arm,seed,family,n_test_manifest,candidate_slates,missing_candidate_slates,route_at_10,candidate_recall,sys_at_1,sys_at_3,sys_at_5,sys_at_10,mrr,ndcg_at_10
reafnn_only,0,Beckmann,235,232,3,0.6978723404255319,0.3574468085106383,0.12340425531914893,0.17446808510638298,0.21702127659574466,0.25531914893617025,0.16157941294573236,0.17506940436917526
reafnn_only,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.47588717015468607,0.13284804367606914,0.2520473157415833,0.30482256596906276,0.3521383075523203,0.20877598424862875,0.23636425010610174
reafnn_only,0,Chan_LamCoupling,390,390,0,0.7743589743589744,0.6641025641025641,0.2641025641025641,0.4076923076923077,0.4794871794871795,0.5384615384615384,0.3584713711847136,0.38913044541721126
reafnn_only,0,DielsAlder,762,742,20,0.37270341207349084,0.24671916010498687,0.13910761154855641,0.19816272965879264,0.20866141732283464,0.22965879265091863,0.17059202020534978,0.18319047967010074
reafnn_only,0,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.5684210526315789,0.1831578947368421,0.27789473684210525,0.32210526315789473,0.4,0.25370596947283985,0.2710452535936521
reafnn_only,0,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.4682981090100111,0.19021134593993325,0.3270300333704116,0.3615127919911012,0.403781979977753,0.2680609873697092,0.29097880479870164
reafnn_only,1,Beckmann,235,232,3,0.6978723404255319,0.3148936170212766,0.07659574468085106,0.13617021276595745,0.16595744680851063,0.18297872340425533,0.11811543238391664,0.12753222138003545
reafnn_only,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.4940855323020928,0.17743403093721566,0.2893539581437671,0.3330300272975432,0.3885350318471338,0.24839867470799187,0.2751784871110991
reafnn_only,1,Chan_LamCoupling,390,390,0,0.7743589743589744,0.6717948717948717,0.29743589743589743,0.44358974358974357,0.5025641025641026,0.541025641025641,0.38788166968623283,0.4130206141561935
reafnn_only,1,DielsAlder,762,742,20,0.37270341207349084,0.24146981627296588,0.13385826771653545,0.1942257217847769,0.20734908136482938,0.2152230971128609,0.16592224444820847,0.17507679693455558
reafnn_only,1,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.5768421052631579,0.22105263157894736,0.30105263157894735,0.3368421052631579,0.3915789473684211,0.28108749836304053,0.29071148972816147
reafnn_only,1,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.4771968854282536,0.2569521690767519,0.36373748609566187,0.4104560622914349,0.43715239154616237,0.32113158194113545,0.3424092009694979
reafnn_only,2,Beckmann,235,232,3,0.6978723404255319,0.3404255319148936,0.10212765957446808,0.16170212765957445,0.18723404255319148,0.23829787234042554,0.14624034765376231,0.16003802369796236
reafnn_only,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.48043676069153773,0.14649681528662423,0.2538671519563239,0.29208371246587805,0.3475887170154686,0.21500747743988738,0.2397269350499134
reafnn_only,2,Chan_LamCoupling,390,390,0,0.7743589743589744,0.676923076923077,0.2512820512820513,0.4076923076923077,0.4794871794871795,0.5333333333333333,0.352282181452267,0.3846187484319167
reafnn_only,2,DielsAlder,762,742,20,0.37270341207349084,0.24146981627296588,0.14173228346456693,0.1889763779527559,0.20603674540682415,0.22703412073490814,0.16900924595794872,0.17950870433596255
reafnn_only,2,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.5894736842105263,0.21894736842105264,0.2926315789473684,0.3368421052631579,0.4189473684210526,0.27710520492389595,0.2972852268493888
reafnn_only,2,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.48053392658509453,0.20800889877641823,0.32591768631813123,0.3726362625139043,0.4226918798665183,0.2798521007118103,0.3060754477808506
