,cover,cover,sys1,sys1,sys3,sys3,sys5,sys5,sys10,sys10,mrr,mrr,ndcg10,ndcg10,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
arm,,,,,,,,,,,,,,,,,,,,,,
full,0.5425934225752272,0.0014732347438857292,0.25134164023843364,0.01195235982959758,0.3511725298584574,0.012693990548326784,0.3911371342536345,0.01039989196008547,0.4376925132816271,0.006040326026842738,0.3152979306443991,0.011216865866806595,0.3315607827258476,0.010215495304519142,11.822069851061402,0.3339238640625996,0.3930287915894323,0.00841501941154014,0.6157957443086665,0.007739060429591862,0.8344515099308426,0.004618333543609595
no_ltr,0.5425934225752272,0.0014732347438857292,0.24481342284052662,0.0008697044838938016,0.32226849137334446,0.0034417134900406056,0.3405112575942198,0.00020224223263167298,0.3602863345260343,0.0016285591339417899,0.292401374229061,0.0006956337569556739,0.29993058767702446,0.0005563431404143663,,,,,,,,
no_rgnn_temperature,0.5425934225752272,0.0014732347438857292,0.25134164023843364,0.01195235982959758,0.3511725298584574,0.012693990548326784,0.3911371342536345,0.01039989196008547,0.4376925132816271,0.006040326026842738,0.3152979306443991,0.011216865866806595,0.3315607827258476,0.010215495304519142,13.929552063216088,0.3789449330539274,0.35296972394517595,0.008055721558530333,0.5555675491402806,0.012269009253205352,0.780913197650289,0.012171536835851019
