seed,stratifier,value,n,route10,cover,sys1,sys3,sys5,sys10,nonempty_families
0,context_in_train_library,False,131,0.3844928224701187,0.0,0.0,0.0,0.0,0.0,6
0,context_in_train_library,True,3729,0.6406082804814672,0.560810638881032,0.2478414969224729,0.34934835448666357,0.3949617808767449,0.45004887353802464,6
0,seen_product,False,3569,0.6475030039714978,0.552801533383116,0.2542916995983248,0.35508002076136663,0.3987148343598024,0.44803083661974946,6
0,seen_product,True,291,0.49005906515789577,0.41055718530331503,0.09564706438769621,0.18687483675898608,0.21983664658827995,0.2957844774308726,6
1,context_in_train_library,False,131,0.3844928224701187,0.0,0.0,0.0,0.0,0.0,6
1,context_in_train_library,True,3729,0.6406082804814672,0.5628630462565142,0.26055374559493355,0.3661959824171386,0.403338745485738,0.4490681037648338,6
1,seen_product,False,3569,0.6475030039714978,0.5552376297481999,0.26624546548612055,0.3685208358629277,0.4050072594898669,0.4516365019524163,6
1,seen_product,True,291,0.49005906515789577,0.4088389722448958,0.12079941399912336,0.22792903725830485,0.26033576366067757,0.2806965884029456,6
2,context_in_train_library,False,131,0.3844928224701187,0.0,0.0,0.0,0.0,0.0,6
2,context_in_train_library,True,3729,0.6406082804814672,0.5638693986333356,0.271321041101606,0.37411991474973255,0.41577106603142194,0.4600638015419823,6
2,seen_product,False,3569,0.6475030039714978,0.5563869958468125,0.2765183732148924,0.3805821916418208,0.42091190790766414,0.46005676174509963,6
2,seen_product,True,291,0.49005906515789577,0.4088389722448958,0.1298289478122596,0.19738164096723318,0.2420407425464807,0.3017876877487333,6
