family,seed,wall_seconds,controls_seconds,peak_process_rss_mb,peak_torch_allocated_mb,scope,_ensure_knn_tables,train_xgb_ranker_and_temperature,_ensure_gnn_augmented_tables,train_xgb_temperature_regressor,score_table_with_xgb
Beckmann,0,146.49426838383079,3.7865890339016914,1870.17578125,174.3125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,83.08450408279896,3.9583095647394657,32.4200289696455,4.760864943265915,1.5962468013167381
Buchwald-HartwigCross-Coupling,0,1041.194140151143,17.318167824298143,4863.3984375,444.28271484375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,727.7389271073043,18.573025424033403,169.27247513085604,10.510676451027393,7.382376167923212
Chan_LamCoupling,0,233.15240371227264,6.04683330655098,2353.4453125,215.72705078125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,126.46240295097232,6.081957779824734,55.806482307612896,6.225796170532703,2.5505222119390965
DielsAlder,0,483.36197286099195,10.011370595544577,3416.2890625,328.4033203125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,288.6248129233718,10.684230890125036,111.0527458153665,7.247224301099777,4.233590416610241
Friedel-CraftsAcylation,0,294.3951488994062,7.043716728687286,2642.1171875,242.11962890625,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,166.89999715983868,6.598680168390274,69.03649569675326,6.7543380707502365,3.0811301171779633
Friedel-CraftsAlkylation,0,737.072499781847,13.469336904585361,4103.02734375,390.62255859375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,478.6418395116925,20.631603565067053,137.01239005103707,9.862058848142624,6.125197436660528
Beckmann,1,154.22537722438574,3.812198255211115,1871.41796875,174.3125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,86.22235355526209,3.7312552742660046,34.17933924123645,5.413019396364689,1.6897838301956654
Buchwald-HartwigCross-Coupling,1,1054.1568734683096,17.938791748136282,4854.47265625,444.28271484375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,741.6252619028091,18.521407518535852,168.3845727443695,9.91194598376751,7.570619162172079
Chan_LamCoupling,1,236.65108077973127,6.234248075634241,2389.984375,215.72705078125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,128.93686017766595,5.882611036300659,56.556613612920046,6.043216876685619,2.609706599265337
DielsAlder,1,485.08162043988705,10.055727176368237,3411.91796875,328.4033203125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,288.9426697194576,10.579496003687382,111.55604298040271,8.467907026410103,4.28565301373601
Friedel-CraftsAcylation,1,298.97371765971184,7.059991877526045,2654.17578125,242.11962890625,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,170.2841511592269,8.236682623624802,68.53905460610986,6.567518450319767,3.1408477388322353
Friedel-CraftsAlkylation,1,740.1207715719938,13.862366404384375,4118.43359375,390.62255859375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,477.23783626779914,25.087842352688313,136.62626573443413,8.796022493392229,6.433690454810858
Beckmann,2,149.85747887194157,3.7852924913167953,1904.93359375,174.3125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,85.61095152422786,3.832460582256317,33.63946804776788,4.208709232509136,1.6151233837008476
Buchwald-HartwigCross-Coupling,2,1033.171752627939,16.777806658297777,4870.98828125,444.28271484375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,727.7629613131285,20.617340698838234,163.85261189192533,9.748491816222668,7.702308628708124
Chan_LamCoupling,2,238.83545968309045,6.2151491753757,2356.2109375,215.72705078125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,131.94990403205156,5.1599649377167225,57.14263367280364,5.876821663230658,2.6346998624503613
DielsAlder,2,492.3943303413689,9.975761968642473,3364.47265625,328.4033203125,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,290.9043667986989,18.378528639674187,111.03953332453966,7.6576232239604,4.525875721126795
Friedel-CraftsAcylation,2,291.35087417811155,7.121607333421707,2605.2421875,242.11962890625,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,165.05979061871767,6.636469919234514,69.01418558880687,5.949061099439859,3.0361161828041077
Friedel-CraftsAlkylation,2,698.0939410291612,13.196295961737633,4091.33203125,390.62255859375,concurrent Stage 2/3 reconstruction; no Stage 1 decoding; timings are not isolated inference latency,457.44721234217286,16.00030680000782,129.5436549410224,8.934232451021671,6.038007449358702
