arm,seed,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
full,0,0.5409776726709034,0.2389461754397135,0.3372324919183171,0.3814180556757793,0.43443778382261594,0.30354796646660664,0.3212137419426578,1785,11.467310286353472,0.4026434580604871,0.6245777036879361,0.833786750959022
full,1,0.5429403910340526,0.25228359060141275,0.35421904239784646,0.38988828697329864,0.43397753857769744,0.3164536080981422,0.3318291624884791,1795,12.130271594212006,0.38943850115692286,0.6099726513453975,0.8302015781710969
full,2,0.5438622040207259,0.2627951546741747,0.3620660552592087,0.4021050601118255,0.44466221744456796,0.32589221736844837,0.3416394437464059,1797,11.868627672618729,0.3870044155508869,0.6128368778926659,0.8393662006624093
no_ltr,0,0.5409776726709034,0.2458010886008932,0.3258189922593297,0.3403202868662527,0.3584307478696082,0.2931564520511304,0.30027655029139155,0,,,,
no_ltr,1,0.5429403910340526,0.24416219507905867,0.3220394780859949,0.3407231455202655,0.36094992438508927,0.2922611103394264,0.3002263814672825,0,,,,
no_ltr,2,0.5438622040207259,0.24447698484162803,0.3189470037747088,0.34049034039614123,0.36147833132340557,0.29178656029662614,0.2992888312723994,0,,,,
no_rgnn_temperature,0,0.5409776726709034,0.2389461754397135,0.3372324919183171,0.3814180556757793,0.43443778382261594,0.30354796646660664,0.3212137419426578,1785,13.518164327051357,0.36160029555394324,0.5695221669701634,0.7933548501777622
no_rgnn_temperature,1,0.5429403910340526,0.25228359060141275,0.35421904239784646,0.38988828697329864,0.43397753857769744,0.3164536080981422,0.3318291624884791,1795,14.006136054886191,0.34564951299895846,0.5507068575671547,0.7803536672395963
no_rgnn_temperature,2,0.5438622040207259,0.2627951546741747,0.3620660552592087,0.4021050601118255,0.44466221744456796,0.32589221736844837,0.3416394437464059,1797,14.264355807710714,0.35165936328262615,0.5464736228835235,0.7690310755335085
