family,query_rule,routes,candidates,wall_seconds_after_imports,external_wall_seconds_including_imports,gpu_device_baseline_mib,gpu_device_peak_observed_mib,gpu_monitor_interval_seconds,peak_self_rss_mib,peak_child_rss_mib,peak_torch_allocated_mib_stage23,stage1_decode_and_aggregate,stage2_load_models_and_train_library,stage2_candidates_and_features,stage3_graph_load_and_encode,stage3_xgb_load_rank_and_regress
Beckmann,first frozen test identity; product only,10,200,7.08994821831584,9.907151348888874,0.0,591.0,0.2,852.5703125,1029.40625,28.0546875,4.731916893273592,1.9135617576539516,0.1671365723013878,0.13239366561174393,0.09270725771784782
Buchwald-HartwigCross-Coupling,first frozen test identity; product only,10,200,16.907650638371706,19.934875272214413,0.0,677.0,0.2,1022.76171875,1030.0078125,29.80126953125,5.004125971347094,11.332813475281,0.2686726786196232,0.1382509581744671,0.10961852967739105
Chan_LamCoupling,first frozen test identity; product only,10,200,8.89943626895547,11.882531847804785,0.0,615.0,0.2,869.375,1029.23046875,27.7919921875,5.043271113187075,3.408556792885065,0.16354676336050034,0.14099376276135445,0.09550648555159569
DielsAlder,first frozen test identity; product only,5,100,14.186521038413048,16.84703303873539,0.0,735.0,0.2,926.32421875,1029.16015625,27.98486328125,5.432734444737434,8.404437180608511,0.11274702474474907,0.1179257407784462,0.0923047736287117
Friedel-CraftsAcylation,first frozen test identity; product only,10,200,10.159092493355274,13.67152575403452,0.0,665.0,0.2,879.6640625,1029.109375,27.826171875,5.138692788779736,4.595252528786659,0.1504947990179062,0.1339414119720459,0.09218697994947433
Friedel-CraftsAlkylation,first frozen test identity; product only,10,200,15.295681025832891,17.9269888587296,0.0,675.0,0.2,963.78125,1029.50390625,29.94287109375,5.329978410154581,9.37975749745965,0.22286970540881157,0.13022729381918907,0.1831209994852543
