system,family,seeds,n_seeds,n_test_manifest,cover_mean,cover_std,sys1_mean,sys1_std,sys3_mean,sys3_std,sys5_mean,sys5_std,sys10_mean,sys10_std,mrr_mean,mrr_std,ndcg10_mean,ndcg10_std,temp_mae_mean,temp_mae_std,temp_within_5c_mean,temp_within_5c_std,temp_within_10c_mean,temp_within_10c_std,temp_within_20c_mean,temp_within_20c_std
ProSys (Stage 2/3 fixed-Stage-1 robustness),Beckmann,"0,1,2",3,235,0.43546099290780144,0.006500107368731667,0.17446808510638298,0.015342771384953175,0.22978723404255316,0.011258516217296156,0.25957446808510637,0.019500322106195067,0.2936170212765957,0.011258516217296146,0.21625035997453299,0.01099253642712228,0.22066945300596505,0.011800291415617448,11.339635853062367,0.7941717879149305,0.3595086500739597,0.014872956099785338,0.5719981992411087,0.0816383521551504,0.852595022187922,0.014829927725699882
ProSys (Stage 2/3 fixed-Stage-1 robustness),Buchwald-HartwigCross-Coupling,"0,1,2",3,1099,0.5950864422202001,0.0024074170255364786,0.32605398847437067,0.008206096001497548,0.4470730967546254,0.0021013658569231006,0.48407643312101917,0.005682436759234251,0.5265392781316348,0.0013899228677452227,0.3983960772682957,0.005743159401653262,0.4180392910312647,0.0038594679450805304,12.198120469593036,0.23955818018016153,0.34111967223967543,0.00970863240779224,0.5678674564771683,0.0235965161963687,0.813757914153998,0.006996029909319606
ProSys (Stage 2/3 fixed-Stage-1 robustness),Chan_LamCoupling,"0,1,2",3,390,0.7213675213675214,0.00148038530561442,0.41623931623931626,0.023824546777378382,0.541025641025641,0.020351933162035304,0.5811965811965812,0.027176261701854117,0.6213675213675214,0.021503838675913056,0.4895958375327289,0.020453733825499303,0.5056319504939334,0.020525986537762483,5.914722974854286,0.20182518725917453,0.6628787878787878,0.02731478238987868,0.8421717171717172,0.012176326718425437,0.9457070707070708,0.018685162357258558
ProSys (Stage 2/3 fixed-Stage-1 robustness),DielsAlder,"0,1,2",3,762,0.34339457567804027,0.0015153550372431202,0.1570428696412948,0.005917650594255756,0.2134733158355205,0.005303742630350885,0.23534558180227472,0.012880517816566442,0.26290463692038496,0.011762318162509817,0.19508813017909354,0.006477472602901667,0.2026618975475817,0.008940922962158787,19.4789578628698,1.4757987117182134,0.24642724640086391,0.01773471468501131,0.4379940506470688,0.04750857878739758,0.6587107450340882,0.03793956408563302
ProSys (Stage 2/3 fixed-Stage-1 robustness),Friedel-CraftsAcylation,"0,1,2",3,475,0.6589473684210526,0.0,0.28,0.035974752611863295,0.39789473684210525,0.04060484530944403,0.4456140350877193,0.033837371091203355,0.5178947368421053,0.016442630896645594,0.3599013770701612,0.0326429707886389,0.3793653201889436,0.031051030305723048,11.02383139040434,0.7774459856756789,0.4278787878787879,0.020027529262858584,0.6606060606060606,0.03494190377066564,0.8436363636363636,0.013111095547141757
ProSys (Stage 2/3 fixed-Stage-1 robustness),Friedel-CraftsAlkylation,"0,1,2",3,899,0.5124212087504634,0.001699138188711857,0.27326659251019647,0.010513494162964593,0.3811642565813867,0.006422138700663239,0.4226918798665183,0.0067661429702983574,0.4549499443826473,0.0069466051150149375,0.33743169752890695,0.007639513732020541,0.3553707593356863,0.007463595071064511,10.412315728142987,0.45232038794339485,0.39758176279506907,0.009424934705289309,0.6275533860865096,0.026081523902172693,0.8682267828657749,0.011957952482252428
