system,seed,n_families,n_test_manifest,n_candidate_slates,n_missing_candidate_slates,temperature_support,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,rr1,rr3,rr5,rr10
ProSys (Stage 2/3 fixed-Stage-1 robustness),0,6,3860,3833,27,1801,0.5457052224997949,0.27532293201964436,0.3773504923631041,0.41166320903805337,0.45084369160120613,0.3383422382585875,0.3529517852535567,11.162676119292028,0.4117328074241109,0.6433369670941274,0.8395506274218437,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
ProSys (Stage 2/3 fixed-Stage-1 robustness),1,6,3860,3833,27,1795,0.5430046890112316,0.2684032570122625,0.36600236919166823,0.40621296436420634,0.445127586640943,0.33038278927112524,0.3450940351763026,11.781830823755287,0.40059438104231715,0.6140580139169497,0.8336145954915842,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
ProSys (Stage 2/3 fixed-Stage-1 robustness),2,6,3860,3833,27,1799,0.5446291431615132,0.2698092369538738,0.36185627898614375,0.3963733161773499,0.44266529121829556,0.32960671224714677,0.34282351537182804,12.239285196416091,0.40537026516714386,0.5967004541037396,0.818151726379181,0.43457108650462906,0.5668504070410878,0.5996862436798563,0.6319595591212833
