family,display_family,test_products,base_route_at_1,base_route_at_3,base_route_at_5,base_route_at_10,family_tuned_route_at_1,family_tuned_route_at_3,family_tuned_route_at_5,family_tuned_route_at_10,delta_route_at_1,delta_route_at_3,delta_route_at_5,delta_route_at_10
Beckmann,Beckmann,235,0.0,0.0,0.0,0.0,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596
MACRO-AVG,MACRO-AVG,235,0.0,0.0,0.0,0.0,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596
WEIGHTED-AVG,WEIGHTED-AVG,235,0.0,0.0,0.0,0.0,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596
