family,display_family,test_products,base_route_at_1,base_route_at_3,base_route_at_5,base_route_at_10,family_tuned_route_at_1,family_tuned_route_at_3,family_tuned_route_at_5,family_tuned_route_at_10,delta_route_at_1,delta_route_at_3,delta_route_at_5,delta_route_at_10
Friedel-CraftsAlkylation,Friedel-Crafts Alkyl.,899,0.002224694104560623,0.0033370411568409346,0.0033370411568409346,0.004449388209121246,0.21023359288097887,0.3203559510567297,0.3559510567296997,0.40266963292547275,0.20800889877641826,0.3170189098998888,0.35261401557285876,0.39822024471635153
MACRO-AVG,MACRO-AVG,899,0.002224694104560623,0.0033370411568409346,0.0033370411568409346,0.004449388209121246,0.21023359288097887,0.3203559510567297,0.3559510567296997,0.40266963292547275,0.20800889877641826,0.3170189098998888,0.35261401557285876,0.39822024471635153
WEIGHTED-AVG,WEIGHTED-AVG,899,0.002224694104560623,0.0033370411568409346,0.0033370411568409346,0.004449388209121246,0.21023359288097887,0.3203559510567297,0.3559510567296997,0.40266963292547275,0.20800889877641826,0.3170189098998888,0.3526140155728587,0.3982202447163516
