family,display_family,test_products,base_route_at_1,base_route_at_3,base_route_at_5,base_route_at_10,family_tuned_route_at_1,family_tuned_route_at_3,family_tuned_route_at_5,family_tuned_route_at_10,delta_route_at_1,delta_route_at_3,delta_route_at_5,delta_route_at_10
Beckmann,Beckmann,235,0.0,0.0,0.0,0.0,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596,0.4553191489361702,0.6042553191489362,0.6382978723404256,0.6893617021276596
Buchwald-HartwigCross-Coupling,Buchwald-Hartwig,1099,0.13011828935395814,0.2283894449499545,0.278434940855323,0.3275705186533212,0.3994540491355778,0.5341219290263877,0.5732484076433121,0.6032757051865332,0.26933575978161967,0.30573248407643316,0.2948134667879891,0.27570518653321197
Chan_LamCoupling,Chan-Lam,390,0.028205128205128206,0.06153846153846154,0.07435897435897436,0.12307692307692308,0.5641025641025641,0.6461538461538462,0.6717948717948717,0.7,0.5358974358974359,0.5846153846153846,0.5974358974358974,0.5769230769230769
DielsAlder,Diels-Alder,762,0.0,0.0,0.0,0.0,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906
Friedel-CraftsAcylation,Friedel-Crafts Acyl.,475,0.05473684210526316,0.09263157894736843,0.12631578947368421,0.14947368421052631,0.3894736842105263,0.5305263157894737,0.5621052631578948,0.6189473684210526,0.33473684210526317,0.43789473684210534,0.43578947368421056,0.46947368421052627
Friedel-CraftsAlkylation,Friedel-Crafts Alkyl.,899,0.002224694104560623,0.0033370411568409346,0.0033370411568409346,0.004449388209121246,0.21023359288097887,0.3203559510567297,0.3559510567296997,0.40266963292547275,0.20800889877641826,0.3170189098998888,0.35261401557285876,0.39822024471635153
MACRO-AVG,MACRO-AVG,3860,0.03588082562815169,0.06431608776543755,0.08040779097413708,0.1007617523583153,0.36552062028008586,0.4842924280874091,0.5172057903345686,0.5585874583113445,0.32963979465193427,0.4199763403219716,0.43679799936043145,0.45782570595302924
WEIGHTED-AVG,WEIGHTED-AVG,3860,0.047150259067357515,0.08341968911917098,0.10310880829015544,0.12512953367875648,0.3297927461139896,0.44740932642487047,0.4816062176165803,0.5209844559585493,0.28264248704663214,0.3639896373056995,0.3784974093264249,0.3958549222797927
