family,display_family,test_products,base_route_at_1,base_route_at_3,base_route_at_5,base_route_at_10,family_tuned_route_at_1,family_tuned_route_at_3,family_tuned_route_at_5,family_tuned_route_at_10,delta_route_at_1,delta_route_at_3,delta_route_at_5,delta_route_at_10
DielsAlder,Diels-Alder,762,0.0,0.0,0.0,0.0,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906
MACRO-AVG,MACRO-AVG,762,0.0,0.0,0.0,0.0,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906
WEIGHTED-AVG,WEIGHTED-AVG,762,0.0,0.0,0.0,0.0,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906,0.17454068241469817,0.27034120734908135,0.30183727034120733,0.33727034120734906
