family,seed,arm,n_queries,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c
Beckmann,0,full,235,0.41702127659574467,0.1702127659574468,0.21702127659574466,0.2553191489361702,0.2978723404255319,0.2093829990598752,0.21914721752484553,65,10.688845136923076,0.46153846153846156,0.5846153846153846,0.8307692307692308
Beckmann,0,no_ltr,235,0.41702127659574467,0.1276595744680851,0.20425531914893616,0.21702127659574466,0.24255319148936172,0.17439293307719625,0.18152419558118418,0,,,,
Beckmann,0,no_rgnn_temperature,235,0.41702127659574467,0.1702127659574468,0.21702127659574466,0.2553191489361702,0.2978723404255319,0.2093829990598752,0.21914721752484553,65,11.779149375384616,0.36923076923076925,0.5846153846153846,0.8307692307692308
Beckmann,1,full,235,0.4127659574468085,0.10638297872340424,0.16170212765957445,0.2,0.24680851063829784,0.1532363159879941,0.1619367335614837,68,13.349801698529413,0.3382352941176471,0.5882352941176471,0.7941176470588235
Beckmann,1,no_ltr,235,0.4127659574468085,0.11914893617021277,0.17446808510638298,0.20425531914893616,0.24255319148936172,0.1618819750777016,0.17253049844219043,0,,,,
Beckmann,1,no_rgnn_temperature,235,0.4127659574468085,0.10638297872340424,0.16170212765957445,0.2,0.24680851063829784,0.1532363159879941,0.1619367335614837,68,14.64536290735294,0.27941176470588236,0.5,0.7647058823529411
Beckmann,2,full,235,0.41702127659574467,0.09361702127659574,0.16170212765957445,0.19574468085106383,0.24680851063829784,0.14457069469961353,0.15775909404102048,68,13.711037697058824,0.29411764705882354,0.5441176470588235,0.7794117647058824
Beckmann,2,no_ltr,235,0.41702127659574467,0.14042553191489363,0.19574468085106383,0.21276595744680848,0.23829787234042554,0.17821610135489102,0.18170612011594717,0,,,,
Beckmann,2,no_rgnn_temperature,235,0.41702127659574467,0.09361702127659574,0.16170212765957445,0.19574468085106383,0.24680851063829784,0.14457069469961353,0.15775909404102048,68,14.827031927058826,0.27941176470588236,0.45588235294117646,0.7647058823529411
Buchwald-HartwigCross-Coupling,0,full,1099,0.5168334849863512,0.3111919927206551,0.39854413102820746,0.4249317561419472,0.45586897179253866,0.3628851104839667,0.3760149374774288,484,12.524909026859502,0.3367768595041322,0.5619834710743802,0.8037190082644629
Buchwald-HartwigCross-Coupling,0,no_ltr,1099,0.5168334849863512,0.25477707006369427,0.31028207461328483,0.3202911737943585,0.3348498635122839,0.28967035134426,0.2931935980756029,0,,,,
