arm,seed,cover,sys1,sys3,sys5,sys10,mrr,ndcg10,temp_n,temp_mae,temp_within_5c,temp_within_10c,temp_within_20c,n_queries,temperature_families
full,0,0.4751468530162441,0.19719228216854692,0.29245477001588144,0.33246452386059616,0.37943080637863696,0.25898166488328006,0.27583218793093445,1529,11.026975139243328,0.4222251450706638,0.6236144217861461,0.8330593003832054,3860,6
full,1,0.47540936209555557,0.201365425517094,0.29721723750451196,0.3321665314454942,0.3756933340526878,0.2620322047675114,0.2778919995317885,1537,11.668940056993529,0.41394561027411636,0.6212545057923254,0.8250156667603656,3860,6
full,2,0.4766910491946093,0.19561318608621892,0.3026153135370521,0.3351688414278044,0.3808878515294656,0.26089971648940186,0.2784301650954464,1538,11.251211729704975,0.4018596823144435,0.6232272917428923,0.837131404588113,3860,6
no_ltr,0,0.4751468530162441,0.20310926296152076,0.26736543683682135,0.2816949926447857,0.2979030414693049,0.24287748492312144,0.24883741287654007,0,,,,,3860,0
no_ltr,1,0.47540936209555557,0.20062473784111146,0.262830386829173,0.2804634181779806,0.29988222225195504,0.2406023579104926,0.24832334585206262,0,,,,,3860,0
no_ltr,2,0.4766910491946093,0.20293810160720283,0.26525776622524244,0.2839360646386065,0.2993544974999673,0.24269823760784318,0.2492986500354176,0,,,,,3860,0
no_rgnn_temperature,0,0.4751468530162441,0.19719228216854692,0.29245477001588144,0.33246452386059616,0.37943080637863696,0.25898166488328006,0.27583218793093445,1529,13.28938751629576,0.35664413150761504,0.5681777162148495,0.7906727973159965,3860,6
no_rgnn_temperature,1,0.47540936209555557,0.201365425517094,0.29721723750451196,0.3321665314454942,0.3756933340526878,0.2620322047675114,0.2778919995317885,1537,13.82573697373504,0.33225097404625087,0.5428733775788233,0.778325707635774,3860,6
no_rgnn_temperature,2,0.4766910491946093,0.19561318608621892,0.3026153135370521,0.3351688414278044,0.3808878515294656,0.26089971648940186,0.2784301650954464,1538,13.764750963163088,0.3520978798645153,0.5576698375001142,0.7772875375909211,3860,6
