,cover,cover,cover,sys1,sys1,sys1,sys3,sys3,sys3,sys5,sys5,sys5,sys10,sys10,sys10,mrr,mrr,mrr,ndcg10,ndcg10,ndcg10,temp_mae,temp_mae,temp_mae,temp_within_5c,temp_within_5c,temp_within_5c,temp_within_10c,temp_within_10c,temp_within_10c,temp_within_20c,temp_within_20c,temp_within_20c
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full,0.4757490881021363,0.000826254064425645,3,0.19805696459061994,0.0029720062896652923,3,0.29742910701914854,0.005083584137183648,3,0.3332666322446316,0.0016540857602539226,3,0.3786706639869301,0.002679387111988453,3,0.2606378620467311,0.0015420357350532808,3,0.27738478418605644,0.0013712482970056488,3,11.315708975313944,0.32580616925384226,3,0.4126768125530746,0.010241845735092825,3,0.6226987397737879,0.0012656327518303812,3,0.8317354572438947,0.0061654031717968075,3
no_ltr,0.4757490881021363,0.000826254064425645,3,0.2022240341366117,0.0013876727038115086,3,0.26515119663041226,0.0022694024437887837,3,0.2820314918204576,0.0017606084549226892,3,0.29904658707374243,0.00102488817221021,3,0.24205936014715243,0.0012649798568484735,3,0.2488198029213401,0.0004878905055532849,3,,,0,,,0,,,0,,,0
no_rgnn_temperature,0.4757490881021363,0.000826254064425645,3,0.19805696459061994,0.0029720062896652923,3,0.29742910701914854,0.005083584137183648,3,0.3332666322446316,0.0016540857602539226,3,0.3786706639869301,0.002679387111988453,3,0.2606378620467311,0.0015420357350532808,3,0.27738478418605644,0.0013712482970056488,3,13.62662515106463,0.2936439001575657,3,0.34699766180612707,0.012971726982790635,3,0.5562403104312623,0.012712594116941941,3,0.7820953475142306,0.00744640403731013,3
