family,route_recall_top1_mean,route_recall_top1_std,route_recall_top3_mean,route_recall_top3_std,route_recall_top5_mean,route_recall_top5_std,route_recall_top10_mean,route_recall_top10_std
Beckmann,0.43546099290780144,0.0214179700291369,0.5957446808510638,0.014740857936756424,0.6283687943262412,0.013678937249635406,0.6709219858156028,0.016110378285958245
Chan_LamCoupling,0.5529914529914529,0.015024269941236679,0.6521367521367522,0.008242436547857198,0.67008547008547,0.007833462726420314,0.693162393162393,0.011843082444915358
Friedel-CraftsAcylation,0.39228070175438595,0.008764909471436341,0.5185964912280702,0.01080337145146715,0.5550877192982456,0.006431685185902952,0.6056140350877193,0.014935997651784409
Friedel-CraftsAlkylation,0.2220986281053022,0.014345971169561064,0.33296255098257327,0.011416243469292287,0.37374860956618466,0.018378989590498673,0.4163885799035966,0.015183978664770663
Buchwald-HartwigCross-Coupling,0.40643008795875035,0.013689152679886872,0.5423111919927207,0.014979142523343338,0.5765847740370034,0.016183586984475758,0.6032757051865332,0.015468607825295758
DielsAlder,0.18503937007874016,0.015965255985034694,0.26990376202974625,0.0007576775186215641,0.30489938757655294,0.004218569886698581,0.3359580052493438,0.0034721145814496073
