family,query_rule,routes,candidates,wall_seconds_after_imports,external_wall_seconds_including_imports,gpu_device_baseline_mib,gpu_device_peak_observed_mib,gpu_monitor_interval_seconds,peak_self_rss_mib,peak_child_rss_mib,peak_torch_allocated_mib_stage23,stage1_decode_and_aggregate,stage2_load_models_and_train_library,stage2_candidates_and_features,stage3_graph_load_and_encode,stage3_xgb_load_rank_and_regress
Beckmann,first frozen test identity; product only,10,200,9.312172822654247,13.623065989464521,0.0,627.0,0.2,926.27734375,1024.01171875,51.92529296875,6.468758776783943,2.3264224976301193,0.1728941909968853,0.1945807859301567,0.0958351418375969
Buchwald-HartwigCross-Coupling,first frozen test identity; product only,10,200,20.481096670031548,24.005125410854816,0.0,715.0,0.2,1086.8359375,1020.62890625,53.66796875,5.909685902297497,13.918292075395584,0.2844040058553219,0.20025674998760223,0.11135542765259743
Chan_LamCoupling,first frozen test identity; product only,10,200,10.912613917142153,15.108401000499725,0.0,685.0,0.2,957.4140625,1022.11328125,51.6064453125,6.022129029035568,4.330672226846218,0.18259656056761742,0.22758040949702263,0.09758106246590614
DielsAlder,first frozen test identity; product only,6,120,16.466588508337736,20.250119261443615,0.0,953.0,0.2,1023.078125,1021.6796875,51.923828125,6.232036102563143,9.735926918685436,0.13569394871592522,0.20556357875466347,0.12387007102370262
Friedel-CraftsAcylation,first frozen test identity; product only,10,200,12.813242964446545,17.118910439312458,0.0,679.0,0.2,962.92578125,1023.8515625,51.62451171875,5.795171607285738,6.464645650237799,0.18064841255545616,0.21051228046417236,0.10461192578077316
Friedel-CraftsAlkylation,first frozen test identity; product only,10,200,17.551130078732967,22.013275396078825,0.0,745.0,0.2,1036.08203125,1022.1484375,53.86083984375,5.761141285300255,11.196002166718245,0.23338164761662483,0.1926516778767109,0.11851591989398003
