arm,seed,family,n_test_manifest,candidate_slates,missing_candidate_slates,route_at_10,candidate_recall,sys_at_1,sys_at_3,sys_at_5,sys_at_10,mrr,ndcg_at_10
knn_only,0,Beckmann,235,232,3,0.6978723404255319,0.42127659574468085,0.14893617021276595,0.20851063829787234,0.22553191489361704,0.2680851063829787,0.1919241923822428,0.19630482914740235
knn_only,0,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.5777979981801638,0.30937215650591443,0.42038216560509556,0.45677888989990906,0.5004549590536852,0.37637297128971875,0.39187333267373337
knn_only,0,Chan_LamCoupling,390,390,0,0.7743589743589744,0.7051282051282052,0.38974358974358975,0.48205128205128206,0.5256410256410257,0.5692307692307692,0.45295408935445713,0.46476070014180054
knn_only,0,DielsAlder,762,742,20,0.37270341207349084,0.34776902887139105,0.14041994750656167,0.2047244094488189,0.23622047244094488,0.2690288713910761,0.18403124507959592,0.1967050615125757
knn_only,0,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.6484210526315789,0.28,0.38105263157894737,0.4210526315789474,0.5010526315789474,0.3520241520687822,0.3680650070218096
knn_only,0,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.5027808676307007,0.19911012235817574,0.31924360400444934,0.3615127919911012,0.41379310344827586,0.272395493621441,0.29514962015927776
knn_only,1,Beckmann,235,232,3,0.6978723404255319,0.42127659574468085,0.15319148936170213,0.2297872340425532,0.25531914893617025,0.2723404255319149,0.1994414572522735,0.2023878250967649
knn_only,1,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.5777979981801638,0.30300272975432213,0.41674249317561424,0.45495905368516837,0.49408553230209284,0.3711989369748567,0.38687221519147846
knn_only,1,Chan_LamCoupling,390,390,0,0.7743589743589744,0.7051282051282052,0.3435897435897436,0.44871794871794873,0.49743589743589745,0.5333333333333333,0.4121363076319595,0.4206866964664123
knn_only,1,DielsAlder,762,742,20,0.37270341207349084,0.34776902887139105,0.14960629921259844,0.19685039370078738,0.2178477690288714,0.24803149606299213,0.1832552403270957,0.18921963558779042
knn_only,1,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.6484210526315789,0.2168421052631579,0.30526315789473685,0.3473684210526316,0.4147368421052632,0.2850208165734719,0.292431690977253
knn_only,1,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.5027808676307007,0.21023359288097887,0.31924360400444934,0.3704115684093437,0.4182424916573971,0.27984408189951876,0.3018764088513408
knn_only,2,Beckmann,235,232,3,0.6978723404255319,0.42127659574468085,0.03829787234042553,0.06808510638297872,0.13617021276595745,0.20851063829787234,0.08287250588185292,0.10267689385160918
knn_only,2,Buchwald-HartwigCross-Coupling,1099,1098,1,0.6997270245677889,0.5777979981801638,0.30846223839854414,0.40764331210191085,0.45131938125568705,0.4931756141947225,0.3726170285959714,0.3878024754264141
knn_only,2,Chan_LamCoupling,390,390,0,0.7743589743589744,0.7051282051282052,0.36666666666666664,0.46923076923076923,0.5,0.5564102564102564,0.43327114065836825,0.44471996869293823
knn_only,2,DielsAlder,762,742,20,0.37270341207349084,0.34776902887139105,0.14960629921259844,0.20341207349081364,0.23097112860892388,0.26246719160104987,0.18748833567080586,0.195967570781592
knn_only,2,Friedel-CraftsAcylation,475,473,2,0.7031578947368421,0.6484210526315789,0.20421052631578948,0.2905263157894737,0.30947368421052635,0.35157894736842105,0.26647028449932925,0.26085591684664355
knn_only,2,Friedel-CraftsAlkylation,899,898,1,0.5439377085650723,0.5027808676307007,0.1779755283648498,0.28809788654060065,0.33704115684093433,0.4004449388209121,0.2503795091676309,0.2751396157315747
